Date/Time,C1 Pressure (),,C2 Flow ()
20-Feb-2021 00:15:00,0,,0
20-Feb-2021 00:30:00,0,,0
20-Feb-2021 00:45:00,0,,0
20-Feb-2021 01:00:00,0,,0
20-Feb-2021 01:15:00,0,,0
20-Feb-2021 01:30:00,0,,0
20-Feb-2021 01:45:00,0,,0
20-Feb-2021 02:00:00,0,,0
20-Feb-2021 02:15:00,0,,0
20-Feb-2021 02:30:00,-0.1,,0
20-Feb-2021 02:45:00,-0.1,,0
20-Feb-2021 03:00:00,-0.1,,0
20-Feb-2021 03:15:00,-0.1,,0
20-Feb-2021 03:30:00,-0.1,,0
20-Feb-2021 03:45:00,-0.1,,0
20-Feb-2021 04:00:00,-0.1,,0
20-Feb-2021 04:15:00,-0.1,,0
20-Feb-2021 04:30:00,-0.1,,0
20-Feb-2021 04:45:00,-0.1,,0
20-Feb-2021 05:00:00,-0.1,,0
20-Feb-2021 05:15:00,-0.1,,0
20-Feb-2021 05:30:00,-0.1,,0
20-Feb-2021 05:45:00,-0.1,,0
20-Feb-2021 06:00:00,-0.1,,0
20-Feb-2021 06:15:00,-0.1,,0
20-Feb-2021 06:30:00,-0.1,,0
20-Feb-2021 06:45:00,-0.1,,0
20-Feb-2021 07:00:00,-0.1,,0
20-Feb-2021 07:15:00,-0.1,,0
20-Feb-2021 07:30:00,-0.1,,0
20-Feb-2021 07:45:00,-0.1,,0
20-Feb-2021 08:00:00,-0.1,,0
20-Feb-2021 08:15:00,-0.1,,0
20-Feb-2021 08:30:00,-0.1,,0
20-Feb-2021 08:45:00,-0.1,,0
20-Feb-2021 09:00:00,-0.1,,0
20-Feb-2021 09:15:00,-0.1,,0
20-Feb-2021 09:30:00,-0.1,,0
20-Feb-2021 09:45:00,-0.1,,0
20-Feb-2021 10:00:00,-0.1,,0
20-Feb-2021 10:15:00,-0.1,,0
20-Feb-2021 10:30:00,0,,0
20-Feb-2021 10:45:00,0,,0
20-Feb-2021 11:00:00,0,,0
20-Feb-2021 11:15:00,0,,0
20-Feb-2021 11:30:00,0,,0
20-Feb-2021 11:45:00,0,,0
20-Feb-2021 12:00:00,0,,0
20-Feb-2021 12:15:00,-0.1,,0
20-Feb-2021 12:30:00,-0.2,,0
20-Feb-2021 12:45:00,-0.1,,0
20-Feb-2021 13:00:00,0,,0
