Date/Time,C1 Pressure (),,C2 Flow ()
20-Feb-2021 13:15:00,-0.1,,0
20-Feb-2021 13:30:00,0,,0
20-Feb-2021 13:45:00,0,,0
20-Feb-2021 14:00:00,0,,0
20-Feb-2021 14:15:00,0,,0
20-Feb-2021 14:30:00,0,,0
20-Feb-2021 14:45:00,0,,0
20-Feb-2021 15:00:00,0,,0
20-Feb-2021 15:15:00,0,,0
20-Feb-2021 15:30:00,0,,0
20-Feb-2021 15:45:00,0,,0
20-Feb-2021 16:00:00,0,,0
20-Feb-2021 16:15:00,0,,0
20-Feb-2021 16:30:00,0,,0
20-Feb-2021 16:45:00,0,,0
20-Feb-2021 17:00:00,0,,0
20-Feb-2021 17:15:00,0,,0
20-Feb-2021 17:30:00,0,,0
20-Feb-2021 17:45:00,0,,0
20-Feb-2021 18:00:00,0,,0
20-Feb-2021 18:15:00,0,,0
20-Feb-2021 18:30:00,0,,0
20-Feb-2021 18:45:00,0,,0
20-Feb-2021 19:00:00,0,,0
20-Feb-2021 19:15:00,0,,0
20-Feb-2021 19:30:00,0,,0
20-Feb-2021 19:45:00,0,,0
20-Feb-2021 20:00:00,0,,0
20-Feb-2021 20:15:00,0,,0
20-Feb-2021 20:30:00,0,,0
20-Feb-2021 20:45:00,0,,0
20-Feb-2021 21:00:00,0,,0
20-Feb-2021 21:15:00,0,,0
20-Feb-2021 21:30:00,0,,0
20-Feb-2021 21:45:00,0,,0
20-Feb-2021 22:00:00,0,,0
20-Feb-2021 22:15:00,0,,0
20-Feb-2021 22:30:00,0,,0
20-Feb-2021 22:45:00,0,,0
20-Feb-2021 23:00:00,0,,0
20-Feb-2021 23:15:00,0,,0
20-Feb-2021 23:30:00,0,,0
20-Feb-2021 23:45:00,0,,0
21-Feb-2021 00:00:00,0,,0
21-Feb-2021 00:15:00,0,,0
21-Feb-2021 00:30:00,0,,0
21-Feb-2021 00:45:00,0,,0
21-Feb-2021 01:00:00,0,,0
21-Feb-2021 01:15:00,0,,0
21-Feb-2021 01:30:00,0,,0
